ID,Nombre del Caso,Area,Tipo de Pedido,Precondiciones,Pasos,Datos prueba,Método de Pago,Resultado Esperado,Resultado Obtenido,Estado,Evidencias,Notas,Fecha,Tester
TD71,Login sin validar email bloqueado,Login,N/A,Usuario registrado pero email no validado,"1. Intentar login con usuario no validado
2. Verificar mensaje de error",,N/A,"Login bloqueado. Mensaje: ""Debes validar tu email para continuar""",,,,"No permite login hasta validar email",,
TD72,Validación email - Flujo completo,Login,N/A,Usuario nuevo registrado,"1. Registrar usuario
2. Recibir email de validación
3. Click en enlace de validación
4. Volver a ecommerce
5. Login con credenciales",,N/A,Email validado correctamente. Login permitido después de validación.,,,,,,
TD73,Login mantiene código postal,Login,N/A,Usuario con CP guardado,"1. Hacer login
2. Verificar si mantiene CP anterior o pregunta",,N/A,Sistema pregunta si mantener CP actual o usar el guardado en perfil,,,,,,
TD74,Código postal no válido - Mensaje y tiendas,CP,N/A,Usuario introduce CP inválido,"1. Introducir CP no válido (99999)
2. Verificar mensaje
3. Verificar tiendas mostradas",CP: 99999,N/A,"Mensaje: ""Entrega no disponible"". Muestra tiendas alternativas.",,,,,,
TD75,Cambiar código postal - Franjas actualizadas,CP,N/A,Usuario cambia CP,"1. Cambiar CP de 08014 a 08020
2. Verificar franjas actualizadas","CP: 08014, 08020",N/A,Las franjas de entrega cambian según el nuevo CP,,,,,,
TD76,Franjas estándar almacén central - Precio,Envíos,Domicilio,Usuario selecciona franja estándar,"1. Seleccionar franja estándar (almacén central)
2. Verificar precio: 5,95€",,N/A,Precio de envío: 5.95€,,,,,,
TD77,Franjas Express mismo día - Precio,Envíos,Domicilio,Usuario selecciona franja Express,"1. Seleccionar franja Express (mismo día)
2. Verificar precio: 6,50€",CP: 08014,N/A,Precio de envío: 6.50€,,,,,,
TD78,Franjas rápidas después 14:00 - Precio,Envíos,Domicilio,Usuario accede después 14:00,"1. Acceder después de 14:00
2. Verificar franjas rápidas disponibles
3. Verificar precio: 6€",,N/A,Precio de envío rápido: 6€,,,,,,
TD79,Envío gratis >60€ solo estándar,Envíos,Domicilio,Carrito >60€,"1. Tener carrito >60€
2. Seleccionar franja estándar
3. Verificar envío gratis
4. Intentar con Express (debe cobrar)",CP válido,N/A,"Envío gratis para estándar. Express y rápidas mantienen precio.",,,,"Gratis solo para estándar, no Express",,
TD80,Franjas deshabilitan 30 min antes,Envíos,Domicilio,Usuario cerca de franja,"1. Esperar a 30 min antes de franja
2. Verificar que se deshabilita",,N/A,Franja ya no disponible para selección,,,,,,
